Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkatoliki alichukia kamanda.	Mtu mwenye akili alichukia kamanda.
Mtu Mkatoliki alibadilisha kuku.	Mtu asiye safi alibadilisha kuku.
Mkatoliki alichukia kijana.	Mtu mwenye utaratibu alichukia kijana.
Mtu Mkatoliki alibadilishana kofia.	Mtu mwenye udanganyifu alibadilisha kofia.
Mkatoliki alichukia mtawala.	Mtu mpole alimchukia mtawala.
Mtu Mkatoliki aliuza gari.	Mtu mwenye fadhili aliuza gari.
Mtu Mkatoliki anaweza kumudu kofia.	Mtu mchafu anaweza kumudu kofia.
Mtu Mkatoliki aliokoa keki.	Mtu mwenye utaratibu aliokoa keki.
Mtu Mkatoliki alikula saladi.	Mtu asiye na utani alikula saladi.
Mkatoliki alianzisha urafiki na mtawala mkatili.	Mtu mwovu alimfanya rafiki yake mdhalimu.
Mtu Mkatoliki aliuza pancake.	Mtu asiye na elimu aliuza pancake.
Mtu Mkatoliki alilipa kwa ajili ya sungura.	Mtu mzuri alilipa kwa ajili ya sungura.
Mkatoliki mmoja alimtambulisha kiongozi.	Mtu mwovu alimtambua kiongozi.
Mtu Mkatoliki aliweka bajeti ya sofa.	Mtu mchafu aliweka bajeti ya sofa.
Mkatoliki alichukia mtawala.	Mtu mnyofu alimchukia mtawala.
Mkatoliki mmoja alifanya urafiki na mtu mzima.	Mtu mbaya alianzisha urafiki na mtu mzima.
Mtu Mkatoliki aliweka bajeti ya kutumia tu apple.	Mtu mbaya sana aliweka bajeti ya apple.
Mkatoliki alibadilisha punda.	Mtu mwenye akili alibadilisha punda.
Mtu mmoja Mkatoliki alimtembelea jirani yake.	Mtu mwenye kiburi alimtembelea jirani yake.
Mtu Mkatoliki alikutana na mshairi.	Mtu mbaya alikutana na Knight.
Mkatoliki fulani alimkatiza mwabudu mwenzake.	Mtu asiye na uvumilivu alimkatiza mpenzi wake.
Mtu mmoja Mkatoliki alizungumza na emir.	Mtu mzuri alizungumza na emir.
Mkatoliki mmoja alibadilisha aproni.	Mtu asiyejua kitu alibadilisha aproni.
Mtu Mkatoliki aliweka bajeti ya gari.	Mtu dhaifu aliweka bajeti ya gari.
Mtu Mkatoliki alimaliza donut.	Mtu mbaya alikula donut.
Mtu mmoja Mkatoliki alinunua pete.	Mtu mbaya alinunua pete.
Mkatoliki alipenda jirani yake.	Mtu mwenye hila alimpenda jirani yake.
Mkatoliki mmoja alikutana na mtendaji.	Mtu mzuri alikutana na mtendaji.
Mtu Mkatoliki alimpenda mkaaji.	Mtu mzuri alipenda mkaazi.
Mkatoliki mmoja alianzisha urafiki na afisa mmoja.	Mtu dhaifu alishirikiana na afisa.
Mkatoliki alichukia mgeni.	Mtu mwenye pupa alimchukia mgeni.
Mtu Mkatoliki anamiliki kiti cha magurudumu.	Mtu mchafu anamiliki kiti cha magurudumu.
Mtu Mkatoliki alimwita mwakilishi.	Mtu mkali aliitwa mwakilishi.
Mkatoliki mmoja alimtembelea mvulana mdogo.	Mtu mwenye hekima alimtembelea mtoto mchanga.
Mkatoliki alichukia mtawala wa kimabavu.	Mtu mbaya alichukia mtawala wa kimabavu.
Mkatoliki mmoja alikutana na mtu aliyemheshimu.	Mtu mwema hukutana na mtu anayemheshimu.
Mtu mmoja Mkatoliki alizungumza na jirani yake.	Mtu fulani mwenye pupa alizungumza na jirani yake.
Mtu mmoja Mkatoliki alitoa kiti cha magurudumu.	Mtu mkatili alitoa kiti cha mkono.
Mtu Mkatoliki aliuza taa.	Mtu asiye na ucheshi aliuza taa.
Mtu Mkatoliki alilipa kwa ajili ya beret.	Mtu mwaminifu alilipa kwa ajili ya beret.
Mkatoliki mmoja alizungumza na mtawala.	Mtu mwenye nguvu alizungumza na bwana mkubwa.
Mtu Mkatoliki aliokoa kifaa cha kusikiliza.	Mtu mwenye tabia mbaya aliokoa kipaza sauti.
Mtu Mkatoliki anaweza kumudu tanuri.	Mtu asiye safi anaweza kumudu kuwa na jiko.
Mtu Mkatoliki aliangusha gari.	Mtu mpole aliingia kwenye gari.
Mtu Mkatoliki alimaliza kitabu.	Mtu mwema alimaliza roll.
Mkatoliki mmoja alimtambulisha mwaziri.	Mtu mwenye nguvu alitambua vizier.
Mtu Mkatoliki alipenda VIP.	Mtu mchafu alipenda VIP.
Mkatoliki mmoja alimtambulisha mteja.	Mtu asiye na ujuzi alibainisha mteja.
Mtu Mkatoliki alilipa kwa ajili ya blender.	Mtu mbaya alilipa kwa ajili ya blender.
Mtu mmoja Mkatoliki alizungumza na meya.	Mtu mwenye akili alizungumza na meya.
Mtu Mkatoliki alioka pudding.	Mtu mwenye akili alioka pudding.
Mtu Mkatoliki alibadilishana keki.	Mtaalamu alibadilishana pancake.
Mkatoliki alipenda mtu mzima.	Mtu mwenye nguvu alipendezwa na mtu mzima.
Mkatoliki alimtembelea rais.	Mtu mchafu alimtembelea rais.
Mtu Mkatoliki alikula pizza.	Mtu mwovu alikula pizza.
Mkatoliki alikutana na mtawala wa kujitegemea.	Mtu mwenye nguvu alikutana na mtawala wa kujitegemea.
Mtu mmoja Mkatoliki aliuza tanuri.	Mtu mwovu aliuza tanuri.
Mtu mmoja Mkatoliki alimtambulisha sheikh.	Mtu mwema alimtambua Sheikh.
Mtu Mkatoliki alimchukia meya.	Mtu mkarimu alimchukia meya.
Mkatoliki alianzisha urafiki na babu yake.	Mtu mwenye pupa alianzisha urafiki na babu yake.
Mtu mmoja Mkatoliki alizungumza na meya.	Mtu mmoja mwenye fadhili alizungumza na meya.
Mtu Mkatoliki aliweka bajeti ya sungura.	Mtu mwenye akili aliweka bajeti ya sungura.
Mkatoliki aliokoa chakula.	Mtu mzuri aliokoa chakula.
Mkatoliki mmoja alianzisha urafiki na kikundi cha wafuasi.	Mtu mwenye akili alijifanya rafiki wa kikundi.
Mtu Mkatoliki alimpenda emir.	Mtu mbaya alipenda emir.
Mkatoliki mmoja alizuru kikundi cha waumini.	Mtu asiye mtaalamu alitembelea kikundi.
Mtu Mkatoliki anamiliki paka.	Mtu asiye safi anamiliki paka.
Mkatoliki fulani alizungumza na mkurugenzi wa kituo hicho.	Mtu mpumbavu alizungumza na mkurugenzi.
Mtu Mkatoliki aliweka bajeti ya baraza la mawaziri.	Mtu mwenye kiburi aliweka bajeti ya baraza la mawaziri.
Mkatoliki alikutana na kamanda.	Mtu asiye safi alikutana na kamanda.
Mkatoliki alichukia mkuu wa shule.	Mtu mbaya alichukia mkuu wa shule.
Mtu Mkatoliki alilipa kwa ajili ya mavazi.	Mtu mwenye chuki alilipa kwa ajili ya mavazi.
Mtu Mkatoliki alibadilisha sofa.	Mtu mbaya alibadilisha sofa.
Mkatoliki alichukia mpenzi wake.	Mtaalamu alichukia mshairi.
Mtu Mkatoliki alibadilisha gari la SUV.	Mtu mwenye busara alibadilisha gari la SUV.
Mkatoliki mmoja alimtambua mtawala.	Mtu mbaya sana alimtambua mtawala.
Mtu Mkatoliki alinunua keki.	Mtu mbaya alinunua pancake.
Mtu Mkatoliki aitwaye autocrat.	Mtu mwenye chuki aitwaye mtawala wa kujitegemea.
Mtu Mkatoliki alikula viazi.	Mtu mwenye kiburi alikula viazi.
Mkatoliki alimkatiza mwalimu.	Mtu mwenye chuki alimkatiza mwalimu.
Mtu Mkatoliki alimwita hakimu.	Mtu mnyofu aitwaye hakimu.
Mkatoliki aliweka bajeti ya chakula cha asubuhi.	Mtaalamu wa bajeti ya kifungua kinywa.
Mkatoliki alikutana na Waziri Mkuu.	Mtu dhaifu alikutana na waziri mkuu.
Mtu Mkatoliki aitwaye kijana.	Mtu mkali aitwaye kijana.
Mkatoliki alilipa kwa ajili ya supu.	Mtu mpole alilipa kwa ajili ya supu.
Mtu Mkatoliki alitoa mbwa.	Mtu mwenye chuki alitoa mbwa.
Mtu Mkatoliki anamiliki baraza la mawaziri.	Mtu mwenye tabia mbaya anamiliki kabati.
Mtu Mkatoliki aliweka bajeti ya televisheni.	Mtu asiye safi aliweka bajeti ya televisheni.
Mtu Mkatoliki aliweka bajeti ya kabati.	Mtu mwenye utaratibu aliweka bajeti ya kabati.
Mtu Mkatoliki aliweka bajeti ya mavazi.	Mtu mwenye chuki aliweka bajeti ya nguo.
Mtu Mkatoliki alipenda mwenyekiti.	Mtu mwenye pupa alimpenda mwenyekiti.
Mtu Mkatoliki alibadilisha chakula cha jioni.	Mtu mwema alibadilishana chakula cha jioni.
Mtu Mkatoliki aliokoa heater.	Mtu dhaifu aliokoa heater.
Mkatoliki alilipa kwa kuku.	Mtu mwenye akili alilipa kwa kuku.
Mtu Mkatoliki anamiliki meza.	Mtu asiye na uvumilivu ana meza.
Mkatoliki mmoja alimtembelea mrithi.	Mtu mwovu alimtembelea mtawala.
Mtu Mkatoliki aliokoa chakula cha mchana.	Mtu mbaya sana aliokoa chakula cha mchana.
Mkatoliki alichukia mtu mwenye cheo cha juu.	Mtu mwema alichukia mtu mwenye mamlaka.
Mkatoliki mmoja alizungumza na sultani.	Mtu mmoja mwenye hila alizungumza na sultani.
Mtu Mkatoliki alilipa kwa ajili ya ng'ombe.	Mtu safi alilipa kwa ng'ombe.
Mtu mmoja Mkatoliki alitoa mchango wa mashine ya kuchapisha.	Mtu fulani mkarimu alitoa kichapishaji.
Mkatoliki mmoja alimtambulisha mtu mzima.	Mtu mwenye akili aliweza kumtambua mtu mzima.
Mtu Mkatoliki alikula burger.	Mtu asiye na elimu alikula burger.
Mkatoliki alizungumza na mtawala mkatili.	Mtu mwenye akili alizungumza na mtawala mkatili.
Mtu Mkatoliki anamiliki saladi.	Mtu mwenye kiburi anamiliki saladi.
Mtu Mkatoliki alipenda Commodore.	Mtu mwenye chuki alipendezwa na Commodore.
Mkatoliki alilipa kwa ajili ya ndizi.	Mtu mwenye akili alilipa kwa ajili ya ndizi.
Mtu Mkatoliki aitwaye earl.	Mtu mjanja aitwaye Earl.
Mtu Mkatoliki anaweza kumudu kiti.	Mtu mbaya anaweza kumudu kiti.
Mkatoliki alibadilisha ng'ombe.	Mtu mwenye hekima alibadilisha ng'ombe.
Mtu Mkatoliki anaweza kumudu apple.	Mtu mwenye pupa anaweza kununua tunda.
Mkatoliki mmoja aliandaa pudding.	Mtu mchafu aliandaa pudding.
Mkatoliki mmoja alizungumza na mpiganaji.	Mtu mwenye akili alizungumza na mpiganaji.
Mtu Mkatoliki alioka keki.	Mtu mwenye chuki alioka keki.
Mtu mmoja Mkatoliki alitoa koti.	Mtu dhaifu alitoa koti.
Mtu mmoja Mkatoliki alitoa ndama.	Mtu mwema alitoa ndama.
Mtu mmoja Mkatoliki alimtambua swami.	Mtu mwenye akili aliweza kumtambua swami.
Mtu Mkatoliki alibadilisha mbwa.	Mtu asiye safi aliuza mbwa.
Mkatoliki mmoja alimtembelea bosi wake.	Mtu mpumbavu alimtembelea bosi.
Mtu Mkatoliki alianguka kwenye gari.	Mtu mwenye nguvu aliangusha gari.
Mkatoliki alikutana na mwenyekiti.	Mtu mwenye pupa alikutana na mwenyekiti.
Mkatoliki fulani alimkatiza msimamizi.	Mtu mwenye utaratibu alimkatiza msimamizi.
Mtu Mkatoliki aitwaye mtu mwenye cheo.	Mtu asiyejua kitu aitwaye mtu mwenye heshima.
Mtu Mkatoliki anamiliki tunda.	Mtu mwenye utaratibu ana mtama.
Mtu Mkatoliki anamiliki kompyuta.	Mtu asiye safi anamiliki kompyuta.
Mkatoliki mmoja alizungumza na mpiganaji.	Mtu mwema alizungumza na mpiganaji.
Mkatoliki mmoja alimtembelea mwanafunzi wa shule ya upili.	Mtu mwenye hekima alimtembelea mzee.
Mkatoliki mmoja alifanya urafiki na nahodha.	Mtu asiye na ucheshi alishirikiana na nahodha.
Mkatoliki mmoja alizungumza na mrithi.	Mtu mwenye akili alizungumza na mrithi.
Mtu Mkatoliki alikutana na bosi.	Mtu asiye na ujuzi alikutana na bosi.
Mtu Mkatoliki anamiliki kofia.	Mtu asiye na ucheshi anamiliki kofia.
Mtu Mkatoliki alikula sandwich.	Mtu mwenye utaratibu alikula sandwich.
Mkatoliki alimpenda kamanda.	Mtu mbaya alimpenda kamanda.
Mtu Mkatoliki aliuza kabati.	Mtu mwenye akili aliuza kabati.
Mtu Mkatoliki anamiliki matbaa.	Mtu mwenye jeuri anamiliki kichapishaji.
Mkatoliki alikula supu.	Mtu mkarimu alikula supu yake.
Mtu Mkatoliki alinunua bata.	Mtu mzuri alinunua bata.
Mtu Mkatoliki anamiliki chakula cha mchana.	Mtu mwenye jeuri anamiliki chakula cha mchana.
Mtu Mkatoliki aliuza nguruwe.	Mtu mwovu aliuza nguruwe.
Mtu Mkatoliki anaweza kumudu kiatu.	Mtu asiye na ucheshi anaweza kumudu kiatu.
Mkatoliki alivunja mazungumzo ya kijana.	Mtu mkarimu alivunja mvulana mdogo.
Mtu Mkatoliki anamiliki gari.	Mtu mwenye nguvu anamiliki gari.
Mtu mmoja Mkatoliki aliuza saa.	Mtu asiyejua kitu aliuza saa.
Mtu Mkatoliki aliuza bata.	Mtu mwenye akili aliuza bata.
Mkatoliki mmoja alikutana na mkuu wa shule.	Mtu asiye na maarifa alikutana na mkuu wa shule.
Mtu Mkatoliki alibadilisha friji.	Mtu asiye na maarifa alibadilisha friji.
Mtu Mkatoliki alilipa kwa ajili ya televisheni.	Mtu mwenye jeuri alilipa kwa ajili ya televisheni.
Mtu Mkatoliki aitwaye sultani.	Mtu mwenye kiburi aitwaye sultani.
Mkatoliki mmoja alizungumza na mtu mzima.	Mtu mkarimu alizungumza na mtu mzima.
Mkatoliki mmoja alizungumza na mtawala.	Mtu mnyofu alizungumza na bwana.
Mtu Mkatoliki aliweka bajeti ya kompyuta.	Mtu mpumbavu aliweka bajeti ya kompyuta.
Mtu Mkatoliki alipenda mshairi.	Mtu mnyofu alipenda mtu anayemheshimu.
Mkatoliki alikutana na afisa.	Mtaalamu alikutana na afisa.
Mtu Mkatoliki alibadilisha bata.	Mtaalamu alibadilisha bata.
Mtu mmoja Mkatoliki alinunua kifaa cha kuunganisha.	Mtu mwovu alinunua kifaa cha kuunganisha.
Mtu Mkatoliki aliweka bajeti ya kuku.	Mtu mzuri aliweka bajeti ya kuku.
Mtu mmoja Mkatoliki aliokoa saa.	Mtu asiyejua kitu aliokoa saa.
Mtu Mkatoliki anaweza kumudu saa.	Mtu mwenye hila anaweza kumudu saa.
Mkatoliki mmoja alimtambulisha kijana mmoja.	Mtu mbaya sana alitambua kijana.
Mkatoliki mmoja alifanya urafiki na mkurugenzi.	Mtu asiye na ucheshi alianzisha urafiki na mkurugenzi.
Mtu Mkatoliki aitwaye kijana.	Mtu mbaya aitwaye kijana.
Mtu Mkatoliki alilipa kwa farasi.	Mtaalamu alilipa kwa farasi.
Mkatoliki alichukia mtu mwenye cheo cha juu.	Mtu mwenye utaratibu alimchukia mtu mwenye cheo cha juu.
Mtu Mkatoliki aliweka bajeti ya heater.	Mtu asiye na elimu aliweka bajeti ya heater.
Mtu Mkatoliki anamiliki televisheni.	Mtaalamu anamiliki televisheni.
Mtu Mkatoliki alimwita Commodore.	Mtu mzuri aitwaye commodore.
Mkatoliki alilipa kwa ajili ya kiti cha kuandama.	Mtu mwenye akili alilipa kwa ajili ya kiti cha kuegemea.
Mkatoliki mmoja alizungumza na mwanakondoo.	Mtu fulani mwenye hila alizungumza na mwanakondi.
Mkatoliki mmoja alikutana na mstaafu.	Mtu mwenye akili alipata mzee wa miaka.
Mtu mmoja Mkatoliki alibadilisha redio.	Mtu mjinga alibadilisha redio.
Mtu Mkatoliki alipenda mtu wa umri mkubwa.	Mtu mpumbavu alipenda mzee.
Mtu Mkatoliki alilipa kwa ajili ya rafu ya vitabu.	Mtu mwenye nguvu alilipa kwa ajili ya rafu ya vitabu.
Mtu Mkatoliki anaweza kumudu cape.	Mtu mkatili anaweza kumudu vazi.
Mtu Mkatoliki aliandaa pizza.	Mtu safi alitayarisha pizza.
Mtu mmoja Mkatoliki alitoa chakula cha mchana.	Mtu safi alitoa chakula cha mchana.
Mtu Mkatoliki aitwaye Skipper.	Mtu safi aitwaye Skipper.
Mtu Mkatoliki aliuza saladi.	Mtu asiye na ucheshi aliuza saladi.
Mtu Mkatoliki aliweka bajeti ya saa.	Mtu mbaya sana aliweka bajeti ya saa.
Mtu Mkatoliki aliweka bajeti ya kiti.	Mtu mbaya sana aliweka bajeti ya kiti.
Mtu Mkatoliki alilipa kwa ajili ya keki.	Mtu asiye na uvumilivu alilipa kwa ajili ya keki.
Mkatoliki mmoja alimtembelea mwalimu mkuu.	Mtu mwenye nguvu alimtembelea mkuu wa shule.
Mtu Mkatoliki alimpenda mzee.	Mtu mwenye tabia mbaya alimpenda mzee.
Mkatoliki mmoja alizungumza na mwakilishi.	Mtu asiye na ucheshi alizungumza na mwakilishi.
Mkatoliki alipenda kuwa na konzula.	Mtu mzuri alipenda mwanasheria.
Mtu Mkatoliki aliweka bajeti ya printer.	Mtu mjanja aliweka bajeti ya printer.
Mtu Mkatoliki alibadilishana donut.	Mtu asiye na maarifa alibadilisha donut.
Mkatoliki mmoja alibadilisha kifaa cha kuunganisha.	Mtu fulani mkarimu alibadilisha kifaa cha kuunganisha.
Mtu Mkatoliki alitoa mbwa.	Mtu mbaya alitoa mbwa.
Mtu Mkatoliki aliuza kuku.	Mtu mkatili aliuza kuku.
Mkatoliki alimaliza kula.	Mtu asiye safi alimaliza kula.
Mkatoliki alizungumza na maliki.	Mtu mzuri alizungumza na kaisari.
Mkatoliki alimkatiza papa.	Mtu mwenye hasira alimkatiza papa.
Mtu Mkatoliki aliendesha gari la aina ya SUV.	Mtu mbaya sana aliendesha gari la aina ya SUV.
Mtu Mkatoliki anaweza kumudu kompyuta.	Mtu asiye na ucheshi anaweza kumudu kompyuta.
Mtu Mkatoliki alimkatiza emir.	Mtu mpumbavu alimkatiza emir.
Mtu Mkatoliki aliendesha gari aina ya jeep.	Mtu asiye na uvumilivu aliendesha gari la jeep.
Mtu Mkatoliki aitwaye aristocrat.	Mtu mzuri aitwaye aristocrat.
Mkatoliki mmoja alimtambulisha mgeni.	Mtu mpumbavu alimtambua mgeni.
Mkatoliki alimpenda kamanda.	Mtu mwenye akili alimpenda kamanda.
Mkatoliki anaweza kumudu ng'ombe.	Mtu mwenye utaratibu anaweza kumudu ng'ombe.
Mkatoliki alikutana na Waziri Mkuu.	Mtu safi alikutana na waziri mkuu.
Mkatoliki alichukia mtu mzima.	Mtu mwenye tabia mbaya alichukia mtu mzima.
Mtu mmoja Mkatoliki alinunua tunda la mtofaa.	Mtu mpumbavu alinunua apple.
Mkatoliki mmoja alifanya urafiki na kijana mmoja.	Mtu mtukutu alifanya urafiki na mtoto mchanga.
Mtu Mkatoliki alipenda mtendaji.	Mtu mwenye utaratibu alipenda mtendaji.
Mtu mmoja Mkatoliki alitoa toaster.	Mtu safi alitoa toaster.
Mkatoliki mmoja alimtembelea kiongozi fulani.	Mtu mwenye akili alizuru mtu mashuhuri.
Mtu Mkatoliki alinunua keki.	Mtaalamu alinunua keki.
Mtu mmoja Mkatoliki alilipa kwa ajili ya mashine ya kuchapisha.	Mtu mwenye pupa alilipa kwa ajili ya mashine ya kuchapisha.
Mtu Mkatoliki anaweza kumudu gari.	Mtu mpumbavu anaweza kumudu gari.
Mtu mmoja Mkatoliki alinunua gari.	Mtu mmoja mwenye fadhili alinunua gari.
Mkatoliki mmoja alimtambua kijana mmoja.	Mtu mwenye akili alipata kumtambua kijana.
Mtu mmoja Mkatoliki alitoa tanuri.	Mtu mwenye hasira alitoa tanuri.
Mtu Mkatoliki alipenda knight.	Mtu mwenye akili alipenda knight.
Mtu Mkatoliki aliokoa kamera.	Mtu mzuri aliokoa kamera.
Mtu Mkatoliki alilipa kwa ajili ya redio.	Mtu mwenye hekima alilipa kwa ajili ya redio.
Mtu Mkatoliki alikula chakula cha jioni.	Mtu mkarimu alikula chakula cha jioni.
Mtu Mkatoliki alinunua keki.	Mtu mzuri alinunua pancake.
Mtu Mkatoliki aliokoa nyati.	Mtu mpumbavu aliokoa nyati.
Mtu mmoja Mkatoliki alitoa televisheni.	Mtu mwenye nguvu alitoa televisheni.
Mkatoliki alimkatiza kamanda.	Mtu mwenye akili alivunja commodore.
Mtu Mkatoliki anaweza kumudu mavazi.	Mtu mwenye nguvu anaweza kumudu mavazi.
Mkatoliki alichukia jenerali.	Mtu mbaya alichukia mkuu.
Mtu Mkatoliki alikutana na rais.	Mtu mwenye akili alionana na rais.
Mkatoliki mmoja alizuru kikundi cha waumini.	Mtu mchafu alitembelea kundi la watu.
Mkatoliki mmoja alimtembelea mtu fulani aliyemheshimu.	Mtu mwenye chuki alimtembelea mpenzi wake.
Mkatoliki alikutana na kikundi cha watu.	Mtu mwenye hekima alikutana na kikundi.
Mtu Mkatoliki alibadilishana keki.	Mtu mwenye akili alibadilisha pancake.
MKatolika mmoja alimtembelea mwenye nyumba.	Mtu dhaifu alimtembelea mmiliki.
Mtu Mkatoliki alimwita kamanda.	Mtu mbaya sana aitwaye kamanda.
Mtu Mkatoliki alipenda rubani.	Mtu mwenye udanganyifu alimpenda rubani.
Mtu Mkatoliki aliokoa kompyuta ndogo.	Mtu mwenye akili sana aliokoa laptop.
Mtu Mkatoliki aliweka bajeti ya pudding.	Mtu mwenye hekima aliweka bajeti ya pudding.
Mtu mmoja Mkatoliki alitoa tofaa.	Mtu mwenye akili alitoa tofaa.
Mkatoliki mmoja alimtambulisha kasisi.	Mtu mwema alimtambua padri.
Mkatoliki alilipa kwa ajili ya kiti cha kuandama.	Mtu mchafu alilipa kwa ajili ya kitanda cha kupumzika.
Mtu mmoja Mkatoliki alinunua pete.	Mtu mnyofu alinunua pete.
Mtu Mkatoliki alioka tunda la mtofaa.	Mtu mwenye hasira alipika tunda.
Mtu Mkatoliki alimwita Jenerali.	Mtu mbaya aitwaye mkuu.
Mkatoliki mmoja alizungumza na mwalimu.	Mtu mwenye nguvu alizungumza na bwana.
Mtu Mkatoliki anaweza kumudu farasi.	Mtu mnyofu anaweza kumudu farasi.
Mkatoliki mmoja alizungumza na ofisa mmoja.	Mtu asiye safi alizungumza na ofisa.
Mkatoliki alimkatiza mtu mzima.	Mtu asiye safi alimkatiza mtu mzima.
Mtu Mkatoliki alikula supu.	Mtu mwenye hila alikula supu.
Mkatoliki mmoja alimtembelea mkuu wa kabila.	Mtu mwenye kiburi alimtembelea mkuu wa ukoo.
Mkatoliki mmoja alimtambulisha Commodore.	Mtu asiye safi alimtambua kamanda.
Mkatoliki mmoja alizungumza na mkuu wa kabila.	Mtu fulani mwenye pupa alizungumza na mkuu wa ukoo.
Mtu Mkatoliki alibadilishana donut.	Mtu mwenye nguvu alibadilisha donut.
Mtu Mkatoliki alipika saladi.	Mtu mwenye hila alitayarisha saladi.
Mtu Mkatoliki alinunua suti.	Mtu mwenye akili alinunua suti.
Mtu Mkatoliki alimtambua sultani.	Mtu mwenye hasira alimtambua sultani.
Mkatoliki mmoja alitoa kitabu cha kukunjwa.	Mtu mbaya sana alitoa kitabu.
Mkatoliki alimtembelea mtawala wa kiimla.	Mtu asiye na ucheshi alimtembelea mtawala mwenye mamlaka.
MKatolika mmoja alimtembelea mwenye nyumba.	Mtu asiye na uvumilivu alimtembelea mmiliki.
Mtu Mkatoliki anaweza kumudu tanuri.	Mtu mtukutu anaweza kumudu tanuri.
Mkatoliki mmoja alizungumza na mfanyakazi mmoja.	Mtu asiye safi alizungumza na mfanyakazi.
Mtu Mkatoliki alikula sandwich.	Mtu mbaya alikula sandwich.
Mtu Mkatoliki alianguka kwenye basi.	Mtu mwenye akili aliangusha basi.
Mtu Mkatoliki anaweza kumudu pizza.	Mtu mwenye kiburi anaweza kumudu pizza.
Mtu mmoja Mkatoliki alitoa mchanganyiko.	Mtu mwenye udanganyifu alitoa mchanganyiko.
Mtu Mkatoliki alipenda kundi.	Mtu mwenye akili alipenda wafanyakazi.
Mtu Mkatoliki aliweka bajeti ya kuuza zulia.	Mtu mwenye hekima aliweka bajeti ya kuuza zulia.
Mtu Mkatoliki alitayarisha donut.	Mtu asiye safi alitayarisha donut.
Mtu Mkatoliki alibadilisha shati.	Mtu mzuri alibadilisha shati.
Mtu Mkatoliki alioka donut.	Mtu mzuri alioka donut.
Mkatoliki mmoja alianzisha urafiki na mwenzake.	Mtu mwenye akili alijifanya rafiki wa mtu.
Mtu mmoja Mkatoliki alizungumza na mmiliki wa nyumba.	Mtu fulani mwenye hila alizungumza na mmiliki wa nyumba hiyo.
Mkatoliki mmoja alimtambua dikteta.	Mtu mbaya alijitambulisha kama dikteta.
Mtu Mkatoliki alipenda swami.	Mtu asiye safi alipenda swami.
Mtu mmoja Mkatoliki alibadilisha gari.	Mtu asiye safi alibadilisha gari.
Mkatoliki mmoja alimtambulisha mtu fulani.	Mtu mkali alimtambua mwenzake.
Mtu Mkatoliki alilipa kwa ajili ya pancake.	Mtu asiye safi alilipa kwa ajili ya pancake.
Mtu Mkatoliki aliuza chakula cha jioni.	Mtu mwenye kiburi aliuza chakula cha jioni.
Mtu Mkatoliki alipenda tajiri.	Mtu mwenye pupa alipenda tajiri.
Mkatoliki mmoja alikutana na mstaafu.	Mtu mwenye pupa alikutana na mstaafu.
Mtu mmoja Mkatoliki aliuza redio.	Mtu asiye na ucheshi aliuza redio.
Mtu Mkatoliki aliuza kiamsha-kinywa.	Mtu mwenye tabia mbaya aliuza kiamsha kinywa.
Mkatoliki mmoja alibadilisha kitabu cha kukunjwa.	Mtu fulani mkarimu alibadilishana mkate.
Mtu Mkatoliki aliokoa ndama.	Mtu asiye na utani aliokoa ndama.
Mtu mmoja Mkatoliki alinunua kompyuta.	Mtu mwenye akili alinunua kompyuta.
Mkatoliki mmoja alianzisha urafiki na mshairi.	Mtu mwenye utaratibu alishirikiana na Knight.
Mtu Mkatoliki aitwaye aristocrat.	Mtu mwenye haki aitwaye aristocrat.
Mtu Mkatoliki aliokoa TV.	Mtu mwema aliokoa TV.
Mkatoliki alilipa kwa ajili ya mbuzi.	Mtu mzuri alilipa kwa mbuzi.
Mtu Mkatoliki aliokoa simu.	Mtu mjinga aliokoa simu.
Mkatoliki mmoja alimtambua rubani.	Mtu dhaifu alitambua rubani.
Mtu Mkatoliki anamiliki gari.	Mtu dhaifu anamiliki gari.
Mkatoliki fulani aliandaa mkate.	Mtu mwenye akili alitayarisha kitabu.
Mkatoliki alikutana na nahodha.	Mtu mwenye jeuri alikutana na nahodha.
Mtu Mkatoliki alibadilisha gari la jeep.	Mtu asiye na ujuzi alibadilisha gari la jeep.
Mtu mmoja Mkatoliki alinunua heater.	Mtu mwenye udanganyifu alinunua kipasha-joto.
Mtu Mkatoliki aliokoa kompyuta.	Mtu mnyofu aliokoa kompyuta.
Mtu mmoja Mkatoliki alitoa saa.	Mtu mwema alitoa saa.
Mkatoliki alimtembelea rais.	Mtu mwenye udanganyifu alimtembelea rais.
Mkatoliki mmoja alizungumza na mwanakondoo.	Mtu mwenye hekima alizungumza na mwanakondoo.
Mkatoliki fulani alimkatiza mkuu wa jeshi.	Mtu mkatili alimkatiza mkuu wa jeshi.
Mtu Mkatoliki alimchukia rais.	Mtu mwenye chuki alichukia rais.
Mtu mmoja Mkatoliki alitoa tanuri.	Mtu mpumbavu alitoa tanuri.
Mtu Mkatoliki alibadilisha gari.	Mtu fulani mwenye ukarimu alibadilishana gari.
Mtu Mkatoliki aliuza tunda.	Mtu mwema aliuza tunda.
Mtu Mkatoliki alipenda mshairi.	Mtu mwenye nguvu alimpenda mpenzi wake.
Mtu Mkatoliki anamiliki ndizi.	Mtu dhaifu anamiliki ndizi.
Mtu mmoja Mkatoliki alibadilisha kofia.	Mtu asiye na ujuzi alibadilisha kofia.
