Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi anamiliki kiti cha magurudumu.	Mtu mwenye fadhili anamiliki kiti cha magurudumu.
Myahudi mmoja alitoa farasi.	Mtu mwenye akili alitoa farasi.
Myahudi alibadilishana vichwa vya sauti.	Mtu asiye safi alibadilisha kifaa cha kusikiliza.
Myahudi alimpenda askofu.	Mtu asiye na ujuzi alipenda askofu.
Myahudi fulani alimtambulisha mkaaji fulani.	Mtu mwenye akili alifafanua mkaaji mmoja.
Myahudi mmoja alibadilisha kitanda.	Mtu safi alibadilisha kitanda.
Myahudi alilipa kwa ajili ya kompyuta ndogo.	Mtu mwenye pupa alilipa kwa ajili ya kompyuta ndogo.
Myahudi anaweza kumudu printer.	Mtu mpumbavu anaweza kumudu printer.
Myahudi anaweza kumudu toaster.	Mtu mpumbavu anaweza kumudu toaster.
Myahudi aliokoa burger.	Mtu mjinga aliokoa burger.
Myahudi alichukia mtendaji.	Mtu mwenye hila alimchukia mtendaji.
Myahudi mmoja aliuza mavazi.	Mtu mkatili aliuza mavazi.
Myahudi mmoja alibadilisha mwana-kondoo.	Mtu mwenye akili alibadilisha kondoo.
Myahudi aliokoa zulia.	Mtu mwenye hila aliokoa zulia.
Myahudi mmoja aliokoa kofia ya chuma.	Mtu mwenye hasira aliokoa kofia ya chuma.
Myahudi mmoja alimtambua sheikh.	Mtu asiye safi alimtambua sheikh.
Myahudi mmoja alikutana na kiongozi fulani.	Mtu mpumbavu alikutana na mkuu.
Myahudi mmoja alinunua kipasha joto.	Mtu mwenye akili alinunua heater.
Myahudi alilipa kwa ng'ombe.	Mtu mwaminifu alilipa kwa ng'ombe.
Myahudi aliokoa sofa.	Mtu mzuri aliokoa sofa.
Myahudi anayeitwa mkwe.	Mtu mwenye hekima alimwita mkwewe.
Myahudi anayeitwa sultani.	Mtu mjanja aitwaye sultani.
Myahudi mmoja alimtembelea kijana mmoja.	Mtu mwenye hila alimtembelea kijana mmoja.
Myahudi alikutana na rais.	Mtu asiye na ucheshi alikutana na rais.
Myahudi alipenda mtendaji.	Mtu mbaya alipenda mtendaji.
Myahudi anayeitwa aristocrat.	Mtu mchafu aitwaye aristocrat.
Myahudi anamiliki gari.	Mtu mwenye chuki anamiliki gari ndogo.
Myahudi alikula burger.	Mtu mzuri alikula burger.
Myahudi alichukia kijana.	Mtu mwenye akili nyingi alichukia kijana.
Myahudi alipenda mtawala.	Mtu mkarimu alipendezwa na mtawala.
Myahudi aliyeitwa kiongozi.	Mtu mchafu aitwaye kiongozi.
Myahudi mmoja aliuza saladi.	Mtu asiye safi aliuza saladi.
Myahudi alibadilisha meza.	Mtu mjinga alibadilisha meza.
Myahudi mmoja alitoa sofa.	Mtu mchafu alitoa sofa.
Myahudi alimaliza supu.	Mtu mzuri alimaliza supu.
Myahudi mmoja alibadilisha toaster.	Mtu mwenye akili alibadilisha toaster.
Myahudi mmoja alimtambulisha kiongozi.	Mtu mkatili alijitambulisha kuwa kiongozi.
Myahudi alikutana na mtu mashuhuri.	Mtu mbaya alikutana na VIP.
Myahudi alibadilisha toaster.	Mtu fulani mkarimu alibadilishana toaster.
Myahudi mmoja alimwita mstaafu.	Mtu mjinga aitwaye mstaafu.
Myahudi alikula ndizi.	Mtu mzuri alikula ndizi.
Myahudi alilipa kwa donut.	Mtu mzuri alilipa kwa donut.
Myahudi mmoja alibadilishana kofia.	Mtu mwenye akili alibadilisha kofia.
Myahudi mmoja aliuza peach.	Mtu mwenye nguvu alibadilisha peach.
Myahudi anamiliki taa.	Mtu mwenye kiburi anamiliki taa.
Myahudi mmoja alibadilisha keki.	Mtu mbaya alibadilisha brownie.
Myahudi mmoja alimtambulisha nahodha.	Mtu mjanja alibainisha nahodha.
Myahudi mmoja alizungumza na sultani.	Mtu mwenye akili alizungumza na sultani.
Myahudi anamiliki ng'ombe.	Mtu mwenye utaratibu ana ng'ombe.
Myahudi mmoja alizungumza na hakimu.	Mtu asiye na ujuzi alizungumza na hakimu.
Myahudi alipenda earl.	Mtu asiye na ujuzi alipenda earl.
Myahudi mmoja alinunua peach.	Mtu mwenye chuki alinunua pichesi.
Myahudi alimpenda sheikh.	Mtu mkatili alimpenda sheikh.
Myahudi alichukia oligarch.	Mtu mbaya alichukia oligarch.
Myahudi anaweza kumudu meza.	Mtu asiye na ucheshi anaweza kumudu meza.
Myahudi mmoja alitoa gari-moshi.	Mtu mwenye pupa alitoa gari-moshi.
Myahudi mmoja alimtembelea ofisa mmoja.	Mtaalamu alizuru afisa.
Myahudi alioka pancake.	Mtu asiye na ucheshi alioka pancake.
Myahudi anamiliki viazi.	Mtu asiye na ucheshi anamiliki viazi.
Myahudi aliweka bajeti ya gari.	Mtu mwenye chuki aliweka bajeti ya gari.
Myahudi mmoja alianzisha urafiki na mtu fulani aliyemheshimu.	Mtu mkarimu alianzisha urafiki na mtu aliyempenda.
Myahudi alipenda mteja.	Mtu mwenye hekima alipenda mteja.
Myahudi alimpenda sultani.	Mtu mwenye akili alipenda sultani.
Myahudi mmoja alianzisha urafiki na kijana mdogo.	Mtu safi alifanya urafiki na mchanga.
Myahudi anamiliki heater.	Mtu mwenye akili ana kipasha joto.
Myahudi mmoja alitoa farasi.	Mtu mmoja mwenye hila alitoa farasi.
Myahudi mmoja aliuza saa.	Mtu mbaya alibadilisha saa.
Myahudi mmoja alinunua kofia.	Mtu asiye na uvumilivu alinunua kofia.
Myahudi alimkatiza mpiganaji.	Mtu mbaya alivunja mpiganaji.
Myahudi mmoja aliandaa burger.	Mtu mwenye kiburi alitayarisha burger.
Myahudi mmoja alitoa mchango wa chakula.	Mtu mkatili alitoa chakula.
Myahudi anayeitwa mvulana mdogo.	Mtaalamu wa mtu aitwaye urchin.
Myahudi alipenda mtu mzima.	Mtu mwenye akili alipendezwa na mtu mzima.
Myahudi alimkatiza mtawala mmoja.	Mtu mchafu alivunja oligarch.
Myahudi alichukia kabila.	Mwenye kiburi anachukia kabila.
Myahudi fulani alimtambulisha msimamizi.	Mtu mwenye pupa alimtambua msimamizi.
Myahudi mmoja alinunua mbuzi.	Mtu fulani mwenye hila alinunua mbuzi.
Myahudi mmoja alimtembelea dikteta.	Mtu dhaifu alimtembelea dikteta.
Myahudi alimkatiza mwanaume wa familia ya kifalme.	Mtu mwenye haki alimkatiza aristocrat.
Myahudi mmoja alinunua aproni.	Mtu mzuri alinunua aproni.
Myahudi alichukia mwakilishi.	Mtu mkatili alichukia mwakilishi.
Myahudi alioka pizza.	Mtu asiye na utani alioka pizza.
Myahudi alimwita mtu mzima.	Mtu mkatili aitwaye mtu mzima.
Myahudi anamiliki ndizi.	Mtu mwenye akili ana ndizi.
Myahudi alimkatiza mpiganaji.	Mtu mzuri alivunja mpiganaji.
Myahudi anamiliki kofia ya chuma.	Mtu asiye mtaalamu anamiliki kofia.
Myahudi alikula ndizi.	Mtu mwenye hasira alikula ndizi.
Myahudi mmoja alizungumza na nahodha.	Mtu mnyofu alizungumza na nahodha.
Myahudi fulani alimpenda kijana.	Mtu mkarimu alimpenda kijana.
Myahudi mmoja alinunua nguruwe.	Mtu mwenye akili alinunua nguruwe.
Myahudi anaweza kumudu ng'ombe.	Mtu mjanja anaweza kumudu ng'ombe.
Myahudi mmoja alinunua redio.	Mtu mjinga alinunua redio.
Myahudi mmoja alitoa mchango wa punda.	Mtu mchafu alitoa punda.
Myahudi alilipa kwa ajili ya ndama.	Mtu mkarimu alilipa kwa ajili ya ndama.
Myahudi anaweza kumudu farasi.	Mtu asiye na elimu anaweza kumudu farasi.
Myahudi aliweka bajeti ya gari.	Mtu mwenye kiburi aliweka bajeti ya gari.
Myahudi alimkatiza mgeni.	Mtu mwenye akili alimkatiza mkaaji.
Myahudi alipenda mpiganaji.	Mtu mchafu alipenda mpiganaji.
Myahudi alipenda mtawala.	Mtu asiyejua kitu alipenda mtawala.
Myahudi alimpenda mkuu wa ukoo.	Mtu mwenye akili alipenda mkuu wa ukoo.
Myahudi mmoja alikutana na kijana mmoja.	Mtu mkatili alikutana na kijana.
Myahudi anamiliki friji.	Mtu mwenye fadhili anamiliki friji.
Myahudi mmoja alinunua kuku.	Mtu mwovu alinunua kuku.
Myahudi alilipa kwa ajili ya taa.	Mtu asiyejua kitu alilipa kwa ajili ya taa.
Myahudi mmoja alibadilisha kitanda.	Mtu asiye safi alibadilisha kitanda.
Myahudi mmoja alimtambulisha mstaafu.	Mtu mwenye busara alimtambua mstaafu.
Myahudi alitayarisha keki.	Mtu mnyofu alitayarisha keki.
Myahudi mmoja alikutana na mtu aliyemheshimu.	Mtu asiye na ujuzi alikutana na mpenzi.
Myahudi alipenda msimamizi wake.	Mtaalamu alipenda msimamizi.
Myahudi mmoja alitoa pancake.	Mtu mwenye hasira alitoa pancake.
Myahudi alichukia earl.	Mtu mpumbavu alichukia earl.
Myahudi alipenda meneja.	Mtu mwenye akili alipenda meneja.
Myahudi alimkatiza jenerali.	Mtu mkarimu alimkatiza jenerali.
Myahudi mmoja alimtembelea mteja.	Mtu asiye mtaalamu alitembelea mteja.
Myahudi alimpenda mtawala wa kimabavu.	Mtu mpole alimpenda mtawala wa kimabavu.
Myahudi alichukia meya.	Mtu dhaifu alimchukia meya.
Myahudi alichukia nahodha.	Mtu asiye na ucheshi alimchukia nahodha.
Myahudi alilipa kwa saa.	Mtu mwenye nguvu alilipa kwa saa.
Myahudi mmoja alitoa mkate.	Mtu mwenye pupa alitoa mkate.
Myahudi mmoja alinunua televisheni.	Mtu mwenye akili alinunua televisheni.
Myahudi alilipa kwa ng'ombe.	Mtu mbaya sana alilipa kwa ng'ombe.
Myahudi anamiliki mashine ya kuyeyusha.	Mtu mwovu anamiliki blender.
Myahudi mmoja alibadilishana kiamsha-kinywa.	Mtu mwenye pupa alibadilisha kiamsha-kinywa.
Myahudi anamiliki smoking.	Mtu mbaya anamiliki smoking.
Myahudi mmoja aliuza televisheni.	Mtu fulani asiye safi alibadilisha televisheni.
Myahudi aliweka bajeti ya basi.	Mtu mbaya sana aliweka bajeti ya basi.
Myahudi aliweka bajeti ya mavazi.	Mtu mwenye kiburi aliweka bajeti ya mavazi.
Myahudi anaweza kumudu paka.	Mtu mwenye akili anaweza kumudu paka.
Myahudi alioka pizza.	Mtu mbaya alioka pizza.
Myahudi alikuwa rafiki wa mtu mzima.	Mtu mchafu alianzisha urafiki na mtu mzima.
Myahudi alikutana na mtu.	Mtu mwaminifu alikutana na mtu.
Myahudi aliyeitwa mtu mashuhuri.	Mtu mjanja aitwaye eminence.
Myahudi anamiliki kiti cha kuandama.	Mtu mwenye chuki anamiliki kitanda cha kupumzika.
Myahudi alimpenda konzula.	Mtu mwenye akili nyingi alimpenda mshauri.
Myahudi alipenda sheikh.	Mtu asiyejua kitu alimpenda sheikh.
Myahudi alizungumza na dikteta.	Mtu mpole alizungumza na dikteta.
Myahudi fulani alimkatiza kamanda.	Mtu mwenye fadhili alimkatiza kamanda.
Myahudi mmoja alimtembelea msimamizi.	Mtu mwenye sura mbaya alimtembelea msimamizi.
Myahudi mmoja aliokoa redio.	Mtu mwenye nguvu aliokoa redio.
Myahudi mmoja alimtembelea kiongozi fulani.	Mtu fulani mwenye pupa alimtembelea mkuu wa jeshi.
Myahudi alikuwa akiendesha gari.	Na mtu mwenye hila ameendesha gari.
Myahudi mmoja alimtembelea tajiri mmoja.	Mtu mwenye hasira alimtembelea tajiri.
Myahudi mmoja alitayarisha burger.	Mtu mbaya sana alipika burger.
Myahudi aliyeitwa kamanda.	Mtu asiyejua kitu alimwita kamanda.
Myahudi anaweza kumudu sandwichi.	Mtu mwenye sura mbaya anaweza kumudu sandwich.
Myahudi fulani alimpenda kuhani.	Mtu safi alipenda kuhani.
Myahudi mmoja alitoa kifaa cha kuchanganya.	Mtu mjinga alitoa blender.
Myahudi alipenda mtawala.	Mtu asiye safi alipenda mtawala.
Myahudi anamiliki nguo.	Mtu mbaya anamiliki nguo.
Myahudi aliokoa sandwich.	Mtu asiye na ucheshi aliokoa sandwich.
Myahudi mmoja aliuza mbuzi.	Mtu mwenye hila aliuza mbuzi.
Myahudi alimaliza kula.	Mtu mwenye akili alimaliza kula.
Myahudi mmoja alinunua saladi.	Mtu mwenye hila alinunua saladi.
Myahudi anamiliki muffin.	Mtu mwenye chuki anamiliki muffin.
Myahudi mmoja alitoa gari.	Mtu mwenye chuki alitoa gari.
Myahudi fulani alimtambulisha bwana.	Mtu mwenye akili alimtambua bwana.
Myahudi mmoja alibadilisha zulia.	Mtu mwenye usafi alibadilisha rug.
Myahudi alipenda mtawala wa kimabavu.	Mtu asiyevumilia alipenda mtawala wa kimabavu.
Myahudi alilipa gari.	Mtu safi alilipa kwa gari.
Myahudi mmoja alitoa taa.	Mtaalamu mmoja alitoa taa.
Myahudi alimaliza kula saladi.	Mtu asiyejua kitu alimaliza saladi.
Myahudi mmoja alifanya urafiki na msimamizi.	Mtu mbaya sana alifanya urafiki na mtawala.
Myahudi mmoja alikuwa rafiki wa rais.	Mtu mbaya alijifanya rafiki wa rais.
Myahudi alipenda mtawala.	Mtu mwenye nguvu alipenda mtawala.
Myahudi mmoja alinunua sandwich.	Mtu mwenye akili alinunua sandwich.
Myahudi aliweka bajeti ya suti.	Mtu mnyofu aliweka bajeti ya suti.
Myahudi mmoja alimtembelea sultani.	Mtu mwenye hasira alimtembelea sultani.
Myahudi alilipa kwa ajili ya muffin.	Mtu mwenye kiburi alilipa kwa ajili ya muffin.
Myahudi alilipa kwa ajili ya sofa.	Mtu mwenye akili alilipa kwa ajili ya sofa.
Myahudi alilipa kwa ajili ya kabati.	Mtu mzuri alilipa kwa ajili ya baraza la mawaziri.
Myahudi fulani alizungumza na mtawala fulani.	Mtu mwenye dharau alizungumza na mtawala.
Myahudi fulani aliandaa keki.	Mtu mwenye utaratibu aliandaa keki.
Myahudi anaweza kununua viazi.	Mtu mwovu anaweza kumudu viazi.
Myahudi aliokoa rafu ya vitabu.	Mtu dhaifu aliokoa rafu ya vitabu.
Myahudi mmoja aliuza kitabu cha kukunjwa.	Mtu mbaya aliuza roll.
Myahudi mmoja alibadilisha paka.	Mtu mchafu alibadilisha paka.
Myahudi fulani alizungumza na nahodha mmoja.	Mtu mwenye usafi alizungumza na nahodha.
Myahudi mmoja alibadilisha kiti cha magurudumu.	Mtu mwenye chuki alibadilisha kiti cha kuandikia.
Myahudi mmoja alikutana na mzee mmoja.	Mtu asiye safi alikutana na mzee.
Myahudi alimaliza kula saladi.	Mtu mwenye akili alimaliza saladi.
Myahudi alibadilisha gari.	Mtu mzuri alibadilisha gari.
Myahudi anaweza kununua burger.	Mtu mwenye usafi anaweza kumudu burger.
Myahudi alichukia kikundi cha wafuasi.	Mtu safi alichukia kundi.
Myahudi mmoja alikuwa rafiki wa mzee mmoja.	Mtu mmoja mwenye hila alimfanya mzee rafiki yake.
Myahudi aliokoa paka.	Mtu mwenye nguvu aliokoa paka.
Myahudi mmoja alikutana na kamanda.	Mtu mwenye hila alikutana na kamanda.
Myahudi alimkatiza papa.	Mtu asiye na ujuzi alimkatiza Papa.
Myahudi alikula tunda la mtofaa.	Mtu mzuri alimaliza tunda.
Myahudi alibadilisha vazi.	Mtu mwenye hasira alibadilisha vazi.
Myahudi fulani alimkatiza mtawala.	Mtu mwenye tabia mbaya alimkatiza bwana.
Myahudi alibadilishana pudding.	Mtu mjanja alibadilishana pudding.
Myahudi alipenda kuwa na cheo cha juu.	Mtu asiye na ujuzi alipenda mtu mashuhuri.
Myahudi mmoja aliuza nyumbu.	Mtu mwenye nguvu aliuza nyumbu.
Myahudi aliweka bajeti ya kipaza sauti.	Mtu mwenye akili aliweka bajeti ya kipaza sauti.
Myahudi alichukia shah.	Mtu mtukutu alimchukia shah.
Myahudi alipenda mteja.	Mtu mbaya alimpenda mteja.
Myahudi alimpenda seneta.	Mtu mwenye akili alimpenda seneta.
Myahudi mmoja alitoa kitanda.	Mtu mwenye tabia mbaya alitoa kitanda.
Myahudi fulani alimkatiza mama mkwe wake.	Mtu asiye na utani alimkatiza mama mkwe.
Myahudi mmoja alibadilishana keki.	Mtu mwenye udanganyifu alibadilisha keki.
Myahudi mmoja alibadilisha televisheni.	Mtu mwenye akili alibadilisha TV.
Myahudi alikutana na mvulana mdogo.	Mtu mbaya alikutana na mtoto mchanga.
Myahudi mmoja alinunua bata.	Mtu mwenye udanganyifu alinunua bata.
Myahudi aliweka bajeti ya taa.	Mtu mwenye utaratibu aliweka bajeti ya taa.
Myahudi mmoja alinunua gari.	Mtu mwenye kiburi alinunua gari.
Myahudi alimpenda kamanda.	Mtu mwenye pupa alimpenda kamanda.
Myahudi mmoja alimtembelea msimamizi.	Mtu mwenye kiburi alimtembelea msimamizi.
Myahudi mmoja alimtambua earl.	Mtu mjinga alitambua earl.
Myahudi aliweka bajeti ya kofia.	Mtu mjinga bajeti kwa ajili ya cap.
Myahudi alilipa kwa ajili ya kompyuta.	Mtu mpumbavu alilipa kwa ajili ya kompyuta.
Myahudi alipenda mfalme.	Mtu mwema alimpenda mfalme.
Myahudi alikutana na mteja.	Mtu mzuri alikutana na mteja.
Myahudi aliweka bajeti ya kabati.	Mtu mchafu aliweka bajeti ya kabati.
Myahudi mmoja alinunua saladi.	Mtu mwenye akili alinunua saladi.
Myahudi mmoja aliuza burger.	Mtu mwenye utaratibu aliuza burger.
Myahudi anamiliki keki.	Mtu asiye na elimu anamiliki keki.
Myahudi anamiliki kitanda.	Mtu mwenye fadhili ana kitanda.
Myahudi alimkatiza sheikh.	Mtu mwenye akili alivunja shaik.
Myahudi mmoja aliokoa gari.	Mtu mwenye hila aliokoa gari.
Myahudi aliweka bajeti ya kutumia sofa.	Mtu asiye na ucheshi aliweka bajeti ya sofa.
Myahudi fulani alimkatiza kamanda.	Mtu mchafu alimkatiza kamanda.
Myahudi anaweza kumudu bata.	Mtu mpumbavu anaweza kumudu bata.
Myahudi mmoja aliuza rafu ya vitabu.	Mtu mpumbavu aliuza rafu ya vitabu.
Myahudi mmoja alimwita msimamizi wake.	Mtu mzuri aitwaye msimamizi.
Myahudi mmoja alimtambulisha jenerali fulani.	Mtu mkarimu alimtambulisha jenerali.
Myahudi mmoja alibadilisha basi.	Mtu mwenye haki alibadilisha basi.
Myahudi mmoja alibadilisha beret.	Mtu mpumbavu alibadilisha beret.
Myahudi fulani alimkatiza ofisa mmoja.	Mtu fulani mkarimu alimkatiza msimamizi.
Myahudi mmoja alikutana na gavana.	Mtu asiye na ujuzi alikutana na gavana.
Myahudi alichukia mwenzake.	Mtu mwenye akili alichukia mwenzake.
Myahudi aliweka bajeti ya saa.	Mtu mwenye akili aliweka bajeti ya saa.
Myahudi mmoja alitoa mchango wa chakula cha mchana.	Mtu mwenye akili alitoa chakula cha mchana.
Myahudi alipendezwa na mtu mwenye umri mkubwa.	Mtu mwenye akili alipenda mzee.
Myahudi mmoja alizungumza na makamu wa rais.	Mtu mmoja mwenye fadhili alizungumza na makamu wa rais.
Myahudi aliweka bajeti ya taa.	Mtu mzuri aliweka bajeti ya taa.
Myahudi mmoja alifanya urafiki na nahodha.	Mtu mzuri sana alifanya urafiki na nahodha.
Myahudi anamiliki gari aina ya jeep.	Mtu mwenye tabia mbaya anamiliki gari aina ya jeep.
Myahudi alikula burger.	Mtu mkatili alikula burger.
Myahudi mmoja aliokoa pete.	Mtu mwenye fadhili aliokoa pete.
Myahudi aliweka bajeti ya mbuzi.	Mtu mwenye hila aliweka bajeti ya mbuzi.
Myahudi aliweka bajeti ya kununua kiatu.	Mtu mbaya sana aliweka bajeti ya kiatu.
Myahudi alipenda rais.	Mtu mwenye pupa alipenda mwenyekiti.
Myahudi fulani alimkatiza amiri.	Mtu mwenye akili alimkatiza amirali.
Myahudi anayeitwa sheikh.	Mtu mbaya aitwaye sheikh.
Myahudi alilipa gari.	Mtu mwenye akili alilipa kwa gari.
Myahudi alichukia mtu mwenye mamlaka.	Mtu mchafu alichukia mtu mwenye mamlaka.
Myahudi anaweza kununua supu.	Mtu mwenye ujuzi anaweza kununua supu.
Myahudi anayeitwa Don.	Mtu asiye safi aitwaye Don.
Myahudi alilipa kwa ajili ya keki.	Mtu mwenye nguvu alilipa kwa ajili ya keki.
Myahudi anaweza kumudu toaster.	Mtu mwenye jeuri anaweza kumudu toaster.
Myahudi mmoja alimtembelea mama mkwe wake.	Mtu mbaya sana alimtembelea mama mkwe.
Myahudi fulani aliandaa keki.	Mtu mbaya aliandaa keki.
Myahudi alimtembelea makamu wa rais.	Mtu mjinga alimtembelea makamu wa rais.
Myahudi mmoja alinunua kofia.	Mtaalamu alinunua kofia.
Myahudi alichukia mtendaji.	Mtu asiye na ucheshi alimchukia mtendaji.
Myahudi mmoja alikuwa rafiki wa kijana mmoja.	Mtu mkatili alianzisha urafiki na kijana.
Myahudi alikutana na seneta.	Mtu mwovu alikutana na seneta.
Myahudi mmoja alinunua ng'ombe.	Mtu dhaifu alinunua ng'ombe.
Myahudi aliweka bajeti ya kununua kiatu.	Mtu mwovu aliweka bajeti ya kiatu.
Myahudi mmoja alitoa paka.	Mtu mpumbavu alitoa paka.
Myahudi anaweza kununua nguo.	Mtu mwenye fadhili anaweza kumudu mavazi.
Myahudi anamiliki nguruwe.	Mtu mtukutu anamiliki nguruwe.
Myahudi alianzisha urafiki na mgeni.	Mtu mwenye nguvu alianzisha urafiki na mgeni.
Myahudi fulani alimkatiza mfanyakazi.	Mtu mwenye akili alimkatiza mfanyakazi.
Myahudi mmoja aliokoa televisheni.	Mtu mwenye haki aliokoa televisheni.
Myahudi mmoja alikuwa rafiki wa mmiliki fulani.	Mtu mwenye akili alianzisha urafiki na mmiliki.
Myahudi alichukia mtawala mkatili.	Mtu mwenye akili nyingi alichukia mtawala wa kimabavu.
Myahudi alioka muffin.	Mtu mwenye akili alioka muffin.
Myahudi alipenda oligarch.	Mtu mwenye akili alipenda oligarch.
Myahudi alimkatiza mtawala mkatili.	Mtu mwenye akili alimkatiza mtawala mkatili.
Myahudi anaweza kumudu laptop.	Mtu mwenye akili anaweza kumudu laptop.
Myahudi mmoja alimpenda kijana.	Mtu mkarimu alimpenda kijana.
Myahudi mmoja alitoa tanuri.	Mtu dhaifu alitoa tanuri.
Myahudi alipenda mababu zake.	Mtu mwenye akili alipenda babu yake.
Myahudi alibadilisha sofa.	Mtu mwenye nguvu alibadilisha sofa.
Myahudi alimpenda konzula.	Mtu mkarimu alimpenda konzili.
Myahudi mmoja alizungumza na hakimu.	Mtu asiye na uvumilivu alizungumza na hakimu.
Myahudi alilipa nauli ya basi.	Mtu asiye na ucheshi alilipa basi.
Myahudi aliweka bajeti ya sandwich.	Mtu mwenye akili aliweka bajeti ya sandwich.
Myahudi mmoja alikuwa rafiki wa mtu mashuhuri.	Mtu asiye na utani alianzisha urafiki na mtu mashuhuri.
Myahudi mmoja alizungumza na papa.	Mtu mmoja mpole alizungumza na papa.
Myahudi mmoja alifanya urafiki na mkuu wa shule.	Mtu mwenye kiburi alishirikiana na mkuu wa shule.
Myahudi mmoja alitoa basi.	Mtu mzuri alitoa basi.
Myahudi anamiliki mashine ya kuchapisha.	Mtu mwenye hila anamiliki kiwanda cha kuchapisha.
Myahudi alipenda mtu aliyemfahamu.	Mtu mwenye utaratibu alipenda mtu anayemfahamu.
Myahudi aliweka bajeti ya saa.	Mtu asiye na ucheshi aliweka bajeti ya saa.
Myahudi alipendezwa na seneta.	Mtu mbaya alimpenda seneta.
Myahudi mmoja aliuza gari la aina ya SUV.	Mtu mwenye akili aliuza gari la aina ya SUV.
Myahudi mmoja alimtembelea mtu mmoja mashuhuri.	Mtu mwenye hila alimtembelea mtu mwenye cheo.
Myahudi alichukia nahodha.	Mtu mwenye jeuri alimchukia nahodha.
Myahudi alimpenda mwenye nyumba.	Mtu safi alipenda mwenye nyumba.
Myahudi mmoja alimtambua mtoto mchanga.	Mtu mzuri alitambua mtoto mchanga.
Myahudi alimkatiza kijana.	Mtu dhaifu alimkatiza kijana.
Myahudi alichukia gavana.	Mtu mkatili alimchukia gavana.
Myahudi mmoja alimtambua dikteta.	Mtaalamu alibainisha dikteta.
Myahudi anamiliki gari la aina ya SUV.	Mtu mtukutu anamiliki gari la aina ya SUV.
Myahudi anamiliki gari moshi.	Mtu asiyejua ana gari moshi.
Myahudi alipenda shah.	Mtu asiye mtaalamu alipenda shah.
Myahudi mmoja alizungumza na mtu fulani aliyemheshimu.	Mtu mwenye jeuri alizungumza na mtu anayemheshimu.
Myahudi mmoja alinunua gari.	Mtu mbaya alinunua gari.
Myahudi mmoja alikuwa rafiki wa kiongozi fulani.	Mtu mpole alianzisha urafiki na mkuu wa ukoo.
Myahudi fulani alikutana na mtu mashuhuri.	Mtu mkarimu alikutana na mtu mashuhuri.
Myahudi alibadilishana koti.	Mtu mpumbavu alibadilishana koti.
Myahudi alichukia mtu mzima.	Mtu asiye na uvumilivu alimchukia mtu mzima.
Myahudi alikula tunda.	Mtu mwenye hasira alikula tunda.
Myahudi fulani alimpenda kamanda.	Mtaalamu alipenda kamanda.
Myahudi mmoja alitoa kompyuta.	Mtu asiye na elimu alitoa kompyuta.
Myahudi aliweka bajeti ya sandwich.	Mtu mwenye hekima aliweka bajeti ya sandwichi.
Myahudi mmoja alibadilisha paka.	Mtu dhaifu alibadilisha paka.
Myahudi mmoja aliuza ng'ombe.	Mtu mwaminifu alibadilisha ng'ombe.
Myahudi anaweza kumudu kuvaa kofia.	Mtu mwovu anaweza kumudu cape.
"Myahudi huitwa "" mzee ""."	Mtu mzuri aitwaye Knight.
Myahudi aliokoa saladi.	Mtu mkarimu aliokoa saladi.
Myahudi aliyeitwa Waziri.	Mtu mwenye akili nyingi aitwaye vizier.
Myahudi mmoja aliuza gari la jeep.	Mtu mwenye tabia mbaya aliuza gari la jeep.
Myahudi alichukia mkuu wa ukoo.	Mtu asiye na maarifa alimchukia mkuu.
